dump_addr,size,name,status,confidence,evidence
0x08008970,16,malloc,conflict,high,"A ambiguous {free|malloc|raise} vs B malloc. Dump 0x08008970: 'ldr r3,=_impure_ptr(0x20000C0C); mov r1,r0; ldr r0,[r3]; b.w 0x08009758' and 0x08009758 = _malloc_r (Ubuntu libc_a-mallocr.o placed at 0x08009710 = sbrk_aligned+_malloc_r, 90.9% bytes equal); newlib malloc.c emits malloc before free. Resolved: B."
0x08008980,16,free,agreed,high,"'... b.w 0x08009858' and 0x08009858 = _free_r (libc_a-freer.o, 89.9% bytes equal)"
0x08008990,28,_fiprintf_r/_fprintf_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fprintf.o placed by tools/lib_match.py windows + direct byte compare (85.3% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080089AC,40,fiprintf/fprintf,agreed,high,B(inferred-by-callers (1/1 matched callers call fprintf in ref)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fprintf.o placed by tools/lib_match.py windows + direct byte compare (85.3% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080089D4,92,memcmp,agreed,high,B(inferred-by-call-position (6/6 positional votes = memcmp); s)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-memcmp.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008A30,58,__sfputc_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008A6C,46,__sfputs_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008A9C,30,__sprint_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008ABC,620,_vfiprintf_r/_vfprintf_r,agreed,high,B(inferred-by-callers (1/1 matched callers call _vfiprintf_r i)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008D28,28,vfiprintf/vfprintf,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008D44,134,__swbuf_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-wbuf.o placed by tools/lib_match.py windows + direct byte compare (88.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008DCC,24,__swbuf,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-wbuf.o placed by tools/lib_match.py windows + direct byte compare (88.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008DE4,768,__sfvwrite_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fvwrite.o placed by tools/lib_match.py windows + direct byte compare (93.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080090E4,44,_init_signal_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009110,74,_signal_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800915C,80,_raise_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080091AC,96,__sigtramp_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800920C,84,raise,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009260,76,signal,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080092AC,52,_init_signal,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080092E0,100,__sigtramp,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signal.o placed by tools/lib_match.py windows + direct byte compare (92.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009344,4,__fp_lock,conflict,high,A=_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar B=- lib=__fp_lock: resolved by the archive member placement (position + bytes). Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009348,24,stdio_exit_handler,agreed,high,A(exact)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table. B: unidentified libc
0x08009360,64,cleanup_stdio,agreed,high,A(fuzzy)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table. B: unidentified libc
0x080093A0,4,__fp_unlock,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080093A4,208,global_stdio_init.part.0,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009474,164,__sfp,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009518,32,__sinit,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009538,2,__sfp_lock_acquire,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800953C,2,__sfp_lock_release,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009540,20,__fp_lock_all,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009554,20,__fp_unlock_all,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-findfp.o placed by tools/lib_match.py windows + direct byte compare (82.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009568,292,__sflush_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fflush.o placed by tools/lib_match.py windows + direct byte compare (94.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800968C,54,_fflush_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fflush.o placed by tools/lib_match.py windows + direct byte compare (94.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080096C4,76,fflush,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fflush.o placed by tools/lib_match.py windows + direct byte compare (94.6% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009710,72,sbrk_aligned,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-mallocr.o placed by tools/lib_match.py windows + direct byte compare (90.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009758,256,_malloc_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-mallocr.o placed by tools/lib_match.py windows + direct byte compare (90.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009858,188,_free_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-freer.o placed by tools/lib_match.py windows + direct byte compare (89.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009914,254,memmove,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-memmove.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009A14,68,_fwalk_sglue,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-fwalk.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009A60,160,memchr,agreed,high,A(exact)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-memchr.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table. B: unidentified libc
0x08009B00,196,__swsetup_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-wsetup.o placed by tools/lib_match.py windows + direct byte compare (94.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009BC4,100,_realloc_r,lib-only,medium,Ubuntu libc_a-reallocr.o (100 B) 85% bytes equal at 0x08009BC4 (relocations differ); B's 2-window hint 'reallocr.o'
0x08009C28,290,_printf_common,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf_i.o placed by tools/lib_match.py windows + direct byte compare (98.8% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009D4C,644,_printf_i,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-nano-vfprintf_i.o placed by tools/lib_match.py windows + direct byte compare (98.8% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08009FD0,4,__malloc_lock,lib-only,high,'bx lr; nop' == Ubuntu libc_a-mlock.o (two 2-B no-op locks); called from _malloc_r@0x08009778 and _free_r@0x0800986C (bl 0x08009FD0); the other bx-lr pair at 0x08009538/3C belongs to findfp.o (__sfp_lock_acquire/release)
0x08009FD4,4,__malloc_unlock,lib-only,high,'bx lr; nop' == libc_a-mlock.o; called from _malloc_r@0x080097BE and _free_r@0x08009842 (bl 0x08009FD4)
0x08009FD8,196,__smakebuf_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-makebuf.o placed by tools/lib_match.py windows + direct byte compare (94.2% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A09C,78,__swhatbuf_r,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-makebuf.o placed by tools/lib_match.py windows + direct byte compare (94.2% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A0EC,34,__sread,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-stdio.o placed by tools/lib_match.py windows + direct byte compare (86.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A110,4,__seofread,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-stdio.o placed by tools/lib_match.py windows + direct byte compare (86.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A114,62,__swrite,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-stdio.o placed by tools/lib_match.py windows + direct byte compare (86.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A154,34,__sseek,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-stdio.o placed by tools/lib_match.py windows + direct byte compare (86.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A178,8,__sclose,agreed,high,A+B+Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-stdio.o placed by tools/lib_match.py windows + direct byte compare (86.5% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A180,16,_malloc_usable_size_r,lib-only,high,Ubuntu libc_a-msizer.o .text 16/16 bytes equal at 0x0800A180; called from _realloc_r@0x08009BD2
0x0800A190,44,_kill_r,lib-only,medium,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signalr.o placed by tools/lib_match.py windows + direct byte compare (77.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A1BC,4,_getpid_r,lib-only,medium,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-signalr.o placed by tools/lib_match.py windows + direct byte compare (77.1% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800A1C0,24,wreless_keyboard_leds,agreed,high,A exact 1.00; B align match; entry=ptr; opsim=1.00; gcc13 ref agrees (wreless_keyboard_leds)
0x0800A1D8,36,wireless_event_queue_init,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 0/1; opsim=1.00; gcc13 ref agrees (wireless_event_queue_init)
0x0800A1FC,68,wireless_event_enqueue,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 0/2; opsim=1.00; gcc13 ref agrees (wireless_event_enqueue)
0x0800A240,40,wireless_init,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 4/6; opsim=1.00
0x0800A268,48,wireless_pairing_ex,agreed,high,A exact 1.00; B align match; callgraph 1/1; opsim=1.00; gcc13 ref agrees (wireless_pairing_ex)
0x0800A298,68,wireless_connect,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 4/5; opsim=1.00; gcc13 ref agrees (wireless_connect)
0x0800A2DC,96,wireless_send_keyboard,agreed,high,A exact 1.00; B align match; entry=ptr; callgraph 2/3; opsim=1.00
0x0800A33C,100,wireless_send_nkro,B-only,high,B align match; entry=ptr; callgraph 2/3; opsim=0.94
0x0800A3A0,52,wireless_send_mouse,agreed,high,A exact 1.00; B align match; entry=ptr; callgraph 1/1; opsim=1.00
0x0800A3D4,72,wireless_connect_ex,agreed,high,A fuzzy-anchored 1.00; B align match; entry=bl; callgraph 2/2; opsim=1.00; gcc13 ref agrees (wireless_connect_ex)
0x0800A41C,16,wireless_disconnect,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 4/4; opsim=1.00; gcc13 ref agrees (wireless_disconnect)
0x0800A42C,2,wireless_enter_discoverable_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A42E,2,wireless_enter_reconnecting_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A430,2,wireless_enter_connected_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A432,2,wireless_enter_bluetooth_pin_code_entry_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A434,2,wireless_exit_bluetooth_pin_code_entry_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A436,2,wireless_enter_sleep_kb,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A438,32,wireless_send_system,agreed,high,A exact 1.00; B align match; opsim=1.00; gcc13 ref agrees (wireless_send_system)
0x0800A458,88,wireless_send_consumer,agreed,high,A exact 1.00; B align match; callgraph 3/3; opsim=1.00; gcc13 ref agrees (wireless_send_consumer)
0x0800A4B0,56,wireless_send_extra,agreed,high,A exact 1.00; B align match; entry=ptr; callgraph 1/1; opsim=0.98
0x0800A4E8,136,wireless_low_battery_shutdown,agreed,high,A exact 1.00; B align match; callgraph 6/6; opsim=1.00
0x0800A570,484,wireless_event_task,agreed,high,A fuzzy-anchored 0.93; B align match; entry=bl; callgraph 21/21; opsim=0.98
0x0800A754,40,wireless_task,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 6/6; opsim=1.00
0x0800A77C,12,wireless_get_state,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 5/5; opsim=1.00
0x0800A788,68,process_record_wireless,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 6/6; opsim=1.00
0x0800A7CC,60,report_buffer_init,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 5/5; opsim=1.00
0x0800A808,56,report_buffer_enqueue,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 3/4; opsim=1.00; gcc13 ref agrees (report_buffer_enqueue)
0x0800A840,52,report_buffer_dequeue,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 1/2; opsim=1.00; gcc13 ref agrees (report_buffer_dequeue)
0x0800A874,24,report_buffer_is_empty,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 2/2; opsim=1.00; gcc13 ref agrees (report_buffer_is_empty)
0x0800A88C,16,report_buffer_update_timer,agreed,high,A exact-ambiguous 1.00; B align match; callgraph 1/1; opsim=1.00
0x0800A89C,32,report_buffer_next_inverval,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 3/3; opsim=1.00; gcc13 ref agrees (report_buffer_next_inverval)
0x0800A8BC,12,report_buffer_set_inverval,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 2/2; opsim=1.00
0x0800A8C8,12,report_buffer_set_retry,agreed,high,A exact-ambiguous 1.00; B align match; entry=bl; callgraph 1/1; opsim=1.00
0x0800A8D4,184,report_buffer_task,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 7/7; opsim=1.00; gcc13 ref agrees (report_buffer_task)
0x0800A98C,148,lkbt51_init,agreed,medium,"B align match; entry=bl,ptr; callgraph 4/4; opsim=0.82; A caller-vote agrees (lkbt51_init)"
0x0800AA20,68,lkbt51_wake,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 7/7; opsim=1.00
0x0800AA64,216,lkbt51_send_cmd,agreed,high,A fuzzy 0.86; B align match; callgraph 4/5; opsim=0.95
0x0800AB3C,52,lkbt51_send_keyboard,B-only,high,B align match; entry=ptr; callgraph 0/1; opsim=0.68; gcc13 ref agrees (lkbt51_send_keyboard)
0x0800AB70,52,lkbt51_send_nkro,B-only,high,B align match; entry=ptr; callgraph 0/1; opsim=0.68; gcc13 ref agrees (lkbt51_send_nkro)
0x0800ABA4,56,lkbt51_send_consumer,B-only,high,B align match; entry=ptr; opsim=0.84; gcc13 ref agrees (lkbt51_send_consumer)
0x0800ABDC,64,lkbt51_send_system,B-only,high,B align match; entry=ptr; opsim=0.79; gcc13 ref agrees (lkbt51_send_system)
0x0800AC1C,76,lkbt51_send_mouse,agreed,high,A fuzzy 0.86; B align match; entry=ptr; opsim=0.93; gcc13 ref agrees (lkbt51_send_mouse)
0x0800AC68,132,lkbt51_become_discoverable,B-only,high,B align match; entry=ptr; callgraph 1/2; opsim=0.89
0x0800ACEC,64,lkbt51_connect,B-only,high,B align match; entry=ptr; callgraph 1/1; opsim=0.91
0x0800AD2C,68,lkbt51_disconnect,B-only,medium,B align match; entry=ptr; callgraph 2/2; opsim=0.71
0x0800AD70,48,lkbt51_update_bat_lvl,B-only,high,B align match; entry=ptr; opsim=0.82; gcc13 ref agrees (lkbt51_update_bat_lvl)
0x0800ADA0,88,lkbt51_read,agreed,medium,B align match; entry=bl; callgraph 6/6; opsim=0.80; A caller-vote agrees (lkbt51_read)
